Place or organization,Province/territory,Region,Corporation,Reporting level,Indicator,Time scale,Time frame,Level 1 breakdown,Level 1 breakdown value,Level 2 breakdown,Level 2 breakdown value,Level 3 breakdown,Level 3 breakdown value,Risk-adjusted rate,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Numerator,Statistically different,Performance comparison,Performance trend,Top results,Denominator,Expected,Urban or rural/remote,Hospital peer group,Long-Term Care Facility Size,Trend note,Refresh date
West Haldimand General Hospital (Ont.),Ontario,West Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6.7,per 100,4.49,9.64,-,Yes,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Woodstock Hospital (Ont.),Ontario,West Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6.7,per 100,5.95,7.55,-,Yes,,,,-,-,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
Carman Memorial Hospital (Man.),Manitoba,Southern Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.6,per 100,8.76,17.68,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Hanover and District Hospital (Ont.),Ontario,West Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.6,per 100,10.33,15.15,-,Yes,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Leader and District Integrated Healthcare Facility (Sask.),Saskatchewan,South West Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.6,per 100,7.46,19.92,-,No,,,,-,-,Rural/remote,Community—Small,Medium,"Data previously attributed to Leader Primary Care (Sask.) and Western Senior Citizens Home (Sask.) will now be attributed to Leader and District Integrated Healthcare Facility (Sask.) as of September 27, 2018. Please interpret trends with caution.","October 14, 2025"
Minnedosa District Hospital (Man.),Manitoba,Prairie Mountain Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.6,per 100,8.96,17.22,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Pincher Creek Health Centre (Alta.),Alberta,South Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.6,per 100,10.04,15.71,-,Yes,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Yukon,Yukon,-,-,Province/territory,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.4,per 100,11.09,13.79,-,Yes,Below average performance,Weakening,,-,253.7,Not applicable,-,Not applicable,-,"October 14, 2025"
Alexandra Marine and General Hospital (Ont.),Ontario,West Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.4,per 100,10.44,14.61,-,Yes,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Big Country Hospital (Alta.),Alberta,South Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.4,per 100,8.00,18.25,-,No,Same as average performance,No change,Not a top result,-,19.1,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Coronation Hospital and Care Centre (Alta.),Alberta,Central Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.4,per 100,6.58,21.15,-,No,Same as average performance,No change,Not a top result,-,9.9,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Fort Smith Health Centre (N.W.T.),Northwest Territories,Fort Smith Health and Social Services Authority (N.W.T.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.4,per 100,7.32,19.53,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
G. R. Baker Memorial Hospital (B.C.),British Columbia,Northern Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.4,per 100,10.45,14.62,-,Yes,,,,-,-,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
Minnedosa District Hospital (Man.),Manitoba,Prairie Mountain Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.4,per 100,8.91,16.72,-,No,Same as average performance,No change,Not a top result,-,32.0,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Northern Haida Gwaii Hospital and Health Centre (B.C.),British Columbia,Northern Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.4,per 100,6.77,20.78,-,No,,,,-,-,Rural/remote,Community—Small,Small,-,"October 14, 2025"
Princeton General Hospital (B.C.),British Columbia,Interior Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.4,per 100,8.16,18.02,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Provost Health Centre (Alta.),Alberta,Central Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.4,per 100,8.93,16.75,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Sacred Heart Community Health Centre (Alta.),Alberta,North Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.4,per 100,10.02,15.21,-,Yes,Below average performance,No change,Not a top result,-,70.7,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Santé Manitouwadge Health (Ont.),Ontario,North West Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.4,per 100,7.08,20.13,-,No,,,,-,-,Rural/remote,Community—Small,Small,-,"October 14, 2025"
Slave Lake Healthcare Centre (Alta.),Alberta,North Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.4,per 100,9.88,15.37,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Unity and District Health Centre (Sask.),Saskatchewan,North Central West Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.4,per 100,8.32,17.85,-,No,,,,-,-,Rural/remote,Community—Small,Medium,-,"October 14, 2025"
Wainwright Health Centre (Alta.),Alberta,Central Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.4,per 100,9.63,15.78,-,Yes,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
William J. Cadzow - Lac La Biche Healthcare Centre (Alta.),Alberta,North Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.4,per 100,10.14,14.90,-,Yes,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Fort Nelson General Hospital (B.C.),British Columbia,Northern Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14.3,per 100,9.53,20.74,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Morris General Hospital (Man.),Manitoba,Southern Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14.3,per 100,7.63,24.53,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Sensenbrenner Hospital (Ont.),Ontario,North East Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14.3,per 100,11.92,17.07,-,Yes,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Chilliwack General Hospital (B.C.),British Columbia,Fraser Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.5,per 100,10.72,12.42,-,Yes,,,,-,-,Urban,Community—Large,Not applicable,-,"October 14, 2025"
Coronation Hospital and Care Centre (Alta.),Alberta,Central Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.5,per 100,7.22,17.45,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Edson Healthcare Centre (Alta.),Alberta,North Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.5,per 100,9.04,14.42,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Gimli Community Health Centre (Man.),Manitoba,Interlake–Eastern Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.5,per 100,8.59,15.18,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Grande Cache Community Health Complex (Alta.),Alberta,North Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.5,per 100,7.36,17.10,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Invermere and District Hospital (B.C.),British Columbia,Interior Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.5,per 100,8.26,15.50,-,No,Same as average performance,No change,Not a top result,-,34.6,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Nipigon District Memorial Hospital (Ont.),Ontario,North West Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.5,per 100,6.91,17.93,-,No,,,,-,-,Rural/remote,Community—Small,Small,-,"October 14, 2025"
Providence Health Care (B.C.),British Columbia,Vancouver Coastal Health (B.C.),Providence Health Care (B.C.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.5,per 100,11.01,12.10,-,Yes,,,,-,-,Not applicable,Teaching,Not applicable,-,"October 14, 2025"
qathet General Hospital (B.C.),British Columbia,Vancouver Coastal Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.5,per 100,9.82,13.46,-,No,,,,-,-,Urban,Community—Small,Not applicable,-,"October 14, 2025"
South Okanagan General Hospital (B.C.),British Columbia,Interior Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.5,per 100,9.36,13.96,-,No,Same as average performance,No change,Not a top result,-,83.0,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
St. Francis Memorial Hospital (Ont.),Ontario,East Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.5,per 100,8.04,16.06,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
St. Francis Memorial Hospital (Ont.),Ontario,East Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.5,per 100,8.50,15.29,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
St. Joseph’s General Hospital [Elliot Lake] (Ont.),Ontario,North East Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.5,per 100,9.53,13.72,-,Yes,,,,-,-,Urban,Community—Medium,Medium,-,"October 14, 2025"
Tri-Lake Health District (Man.),Manitoba,Prairie Mountain Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.5,per 100,6.92,17.96,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Dryden Regional Health Centre (Ont.),Ontario,North West Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14.1,per 100,11.86,16.66,-,Yes,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Northwest Territories,Northwest Territories,-,-,Province/territory,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.7,per 100,10.47,13.04,-,Yes,Below average performance,No change,,-,263.8,Not applicable,-,Not applicable,-,"October 14, 2025"
All Nations’ Healing Hospital (Sask.),Saskatchewan,South East Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.7,per 100,8.69,15.44,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Big Country Hospital (Alta.),Alberta,South Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.7,per 100,7.27,17.95,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Collingwood General and Marine Hospital Corporation (Ont.),Ontario,Central Region (Ont.),Collingwood General and Marine Hospital Corporation (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.7,per 100,10.60,12.80,-,Yes,,,,-,-,Not applicable,Community—Medium,Not applicable,-,"October 14, 2025"
Dryden Regional Health Centre (Ont.),Ontario,North West Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.7,per 100,9.76,13.89,-,Yes,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Emmanuel Health - St. Joseph’s Hosp/Foyer d’Youville Nursing Home (Sask.),Saskatchewan,South West Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.7,per 100,8.24,15.99,-,No,,,,-,-,Rural/remote,Community—Small,Medium,-,"October 14, 2025"
G. R. Baker Memorial Hospital (B.C.),British Columbia,Northern Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.7,per 100,10.04,13.45,-,Yes,Below average performance,No change,Not a top result,-,150.6,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
Golden and District General Hospital (B.C.),British Columbia,Interior Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.7,per 100,8.49,15.81,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
