Place or organization,Province/territory,Region,Corporation,Reporting level,Indicator,Time scale,Time frame,Level 1 breakdown,Level 1 breakdown value,Level 2 breakdown,Level 2 breakdown value,Level 3 breakdown,Level 3 breakdown value,Risk-Adjusted Rate,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Numerator,Statistically different,Performance comparison,Performance trend,Top results,Denominator,Crude rate,Rate Ratio (Income),Potential Rate Reduction (Income),Expected,Urban or rural/remote,Hospital peer group,Long-Term Care Facility Size,Trend note,Refresh date
Prince Edward Island,Prince Edward Island,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Neighbourhood income quintile,Q1 (lowest income),Not applicable,Not applicable,Not applicable,Not applicable,12.0,per 100,6.43,21.04,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
New Brunswick,New Brunswick,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.0,per 100,10.47,13.80,-,No,,,,-,-,0.9,4.9,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.0,per 100,10.37,13.80,-,No,,,,-,-,1.0,-2.4,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,12.0,per 100,9.61,14.99,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Alberta,Alberta,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Neighbourhood income quintile,Q2,Not applicable,Not applicable,Not applicable,Not applicable,12.0,per 100,10.04,14.27,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
British Columbia,British Columbia,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Neighbourhood income quintile,Q1 (lowest income),Not applicable,Not applicable,Not applicable,Not applicable,12.0,per 100,10.51,13.73,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
British Columbia,British Columbia,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Neighbourhood income quintile,Q1 (lowest income),Not applicable,Not applicable,Not applicable,Not applicable,12.0,per 100,10.52,13.63,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
British Columbia,British Columbia,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Neighbourhood income quintile,Q2,Not applicable,Not applicable,Not applicable,Not applicable,12.0,per 100,10.40,13.85,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Abitibi-Témiscamingue Region (Que.),Quebec,Abitibi-Témiscamingue Region (Que.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.0,per 100,8.90,16.04,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Brant County Health Unit (Ont.),Ontario,Brant County Health Unit (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.0,per 100,8.64,16.50,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Eastern Ontario Health Unit (Ont.),Ontario,Eastern Ontario Health Unit (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.0,per 100,9.07,15.64,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Eastern–Rural Zone (N.L.),Newfoundland and Labrador,Eastern–Rural Zone (N.L.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.0,per 100,9.06,15.69,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Hamilton Public Health Services (Ont.),Ontario,Hamilton Public Health Services (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.0,per 100,9.89,14.37,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Interior Health (B.C.),British Columbia,Interior Health (B.C.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.0,per 100,10.43,13.73,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Mauricie et Centre-du-Québec Region (Que.),Quebec,Mauricie et Centre-du-Québec Region (Que.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.0,per 100,10.19,14.10,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Montréal Region (Que.),Quebec,Montréal Region (Que.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.0,per 100,10.76,13.37,-,Yes,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
North West Region (Ont.),Ontario,North West Region (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.0,per 100,9.35,15.34,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northern Health (B.C.),British Columbia,Northern Health (B.C.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.0,per 100,9.28,15.38,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Okanagan HSDA (B.C.),British Columbia,Okanagan HSDA (B.C.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.0,per 100,9.70,14.78,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Prairie Mountain Health Region (Man.),Manitoba,Prairie Mountain Health Region (Man.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.0,per 100,8.65,16.50,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Thompson/Cariboo HSDA (B.C.),British Columbia,Thompson/Cariboo HSDA (B.C.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.0,per 100,9.06,15.86,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Western Zone (N.L.),Newfoundland and Labrador,Western Zone (N.L.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.0,per 100,7.87,17.77,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Canada,-,-,-,National,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,,,"5,224",,,,,"47,455",-,1.2,9.5,-,-,-,-,-,"October 20, 2025"
Canada,-,-,-,National,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Neighbourhood income quintile,Q2,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,10.38,11.56,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Newfoundland and Labrador,Newfoundland and Labrador,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2022–2023,Neighbourhood income quintile,Q2,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,7.96,15.07,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Newfoundland and Labrador,Newfoundland and Labrador,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Neighbourhood income quintile,Q3,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,7.89,15.11,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Prince Edward Island,Prince Edward Island,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,7.94,14.95,-,No,,,,-,-,1.5,11.2,-,-,-,-,-,"October 20, 2025"
Prince Edward Island,Prince Edward Island,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,6.40,18.34,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Quebec,Quebec,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,9.97,12.07,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Quebec,Quebec,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,9.99,12.10,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Neighbourhood income quintile,Q1 (lowest income),Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,8.50,14.00,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Neighbourhood income quintile,Q3,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,7.92,15.19,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,8.43,14.14,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Alberta,Alberta,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,9.19,13.06,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
East Kootenay HSDA (B.C.),British Columbia,East Kootenay HSDA (B.C.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,7.09,16.75,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Eastern–Rural Zone (N.L.),Newfoundland and Labrador,Eastern–Rural Zone (N.L.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,8.00,14.87,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Gaspésie–Îles-de-la-Madeleine Region (Que.),Quebec,Gaspésie–Îles-de-la-Madeleine Region (Que.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,8.11,14.63,-,No,Same as average performance,No change,Not a top result,-,-,-,-,31.5,-,-,-,-,"October 20, 2025"
"Haliburton, Kawartha, Pine Ridge District Health Unit (Ont.)",Ontario,"Haliburton, Kawartha, Pine Ridge District Health Unit (Ont.)",-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,8.33,14.31,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Interior Health (B.C.),British Columbia,Interior Health (B.C.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,9.44,12.83,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Kootenay–Boundary HSDA (B.C.),British Columbia,Kootenay–Boundary HSDA (B.C.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,7.07,16.79,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Labrador–Grenfell Zone (N.L.),Newfoundland and Labrador,Labrador–Grenfell Zone (N.L.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,5.41,21.07,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Mauricie et Centre-du-Québec Region (Que.),Quebec,Mauricie et Centre-du-Québec Region (Que.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,9.40,12.86,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Montréal Region (Que.),Quebec,Montréal Region (Que.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,9.78,12.37,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Niagara Region Public Health (Ont.),Ontario,Niagara Region Public Health (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,8.72,13.70,-,No,Same as average performance,No change,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
North Vancouver Island HSDA (B.C.),British Columbia,North Vancouver Island HSDA (B.C.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,7.59,15.72,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northern Health (B.C.),British Columbia,Northern Health (B.C.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,8.40,14.32,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Ottawa Public Health (Ont.),Ontario,Ottawa Public Health (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,9.15,13.20,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Saskatoon Zone (Sask.),Saskatchewan,Saskatoon Zone (Sask.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,7.95,14.95,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Simcoe Muskoka District Health Unit (Ont.),Ontario,Simcoe Muskoka District Health Unit (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,9.06,13.23,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
South West Zone (Sask.),Saskatchewan,South West Zone (Sask.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,7.37,16.07,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Vancouver Coastal Health (B.C.),British Columbia,Vancouver Coastal Health (B.C.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,9.23,13.11,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
West Region (Ont.),Ontario,West Region (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,10.26,11.88,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Windsor–Essex County Health Unit (Ont.),Ontario,Windsor–Essex County Health Unit (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,8.70,13.73,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Zone 3 (Fredericton Area) (N.B.),New Brunswick,Zone 3 (Fredericton Area) (N.B.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11.0,per 100,8.14,14.71,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Canada,-,-,-,National,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Neighbourhood income quintile,Q2,Not applicable,Not applicable,Not applicable,Not applicable,11.1,per 100,10.52,11.71,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Canada,-,-,-,National,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Neighbourhood income quintile,Q3,Not applicable,Not applicable,Not applicable,Not applicable,11.1,per 100,10.51,11.80,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Newfoundland and Labrador,Newfoundland and Labrador,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2022–2023,Neighbourhood income quintile,Q3,Not applicable,Not applicable,Not applicable,Not applicable,11.1,per 100,7.82,15.61,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Newfoundland and Labrador,Newfoundland and Labrador,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Neighbourhood income quintile,Q4,Not applicable,Not applicable,Not applicable,Not applicable,11.1,per 100,7.87,15.54,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
New Brunswick,New Brunswick,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Urban versus rural/remote,Rural/remote,Not applicable,Not applicable,Not applicable,Not applicable,11.1,per 100,8.84,13.88,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
